time,Tf_1,Tf_2,Ts,hsf,v_1,v_2
98,303.05000017339,303.05000017416,303.05000015491,100000000000,-4.8687761593169e-05,-4.695855500507e-05
99,303.05000017503,303.05000017579,303.05000015654,100000000000,-4.868776159288e-05,-4.6958555004421e-05
100,303.05000017667,303.05000017743,303.05000015817,100000000000,-4.8687761593313e-05,-4.6958555006078e-05
101,303.0500001783,303.05000017906,303.0500001598,100000000000,-4.8687761593024e-05,-4.695855500543e-05
102,303.05000017994,303.0500001807,303.05000016143,100000000000,-4.8687761593457e-05,-4.6958555005934e-05
103,303.05000018157,303.05000018233,303.05000016306,100000000000,-4.8687761592592e-05,-4.6958555006438e-05
104,303.05000018321,303.05000018397,303.05000016469,100000000000,-4.8687761593457e-05,-4.6958555004638e-05
105,303.05000018485,303.0500001856,303.05000016632,100000000000,-4.8687761593745e-05,-4.695855500507e-05
106,303.05000018648,303.05000018724,303.05000016795,100000000000,-4.8687761593601e-05,-4.6958555005646e-05
107,303.05000018812,303.05000018887,303.05000016958,100000000000,-4.8687761593745e-05,-4.6958555004998e-05
108,303.05000018975,303.0500001905,303.05000017121,100000000000,-4.868776159288e-05,-4.6958555006582e-05
109,303.05000019139,303.05000019214,303.05000017284,100000000000,-4.8687761593889e-05,-4.6958555004782e-05
110,303.05000019302,303.05000019377,303.05000017447,100000000000,-4.8687761593601e-05,-4.6958555005214e-05
111,303.05000019466,303.0500001954,303.0500001761,100000000000,-4.8687761593313e-05,-4.6958555004565e-05
112,303.05000019629,303.05000019704,303.05000017773,100000000000,-4.8687761593457e-05,-4.695855500507e-05
113,303.05000019792,303.05000019867,303.05000017936,100000000000,-4.8687761593889e-05,-4.6958555005502e-05
114,303.05000019956,303.0500002003,303.05000018099,100000000000,-4.8687761594033e-05,-4.6958555004782e-05
115,303.05000020119,303.05000020194,303.05000018262,100000000000,-4.8687761593313e-05,-4.6958555005358e-05
116,303.05000020282,303.05000020357,303.05000018425,100000000000,-4.8687761593024e-05,-4.695855500579e-05
117,303.05000020446,303.0500002052,303.05000018588,100000000000,-4.8687761593169e-05,-4.695855500507e-05
118,303.05000020609,303.05000020683,303.05000018751,100000000000,-4.8687761593457e-05,-4.6958555004349e-05
119,303.05000020772,303.05000020846,303.05000018914,100000000000,-4.8687761594897e-05,-4.6958555006006e-05
120,303.05000020936,303.0500002101,303.05000019077,100000000000,-4.8687761594033e-05,-4.6958555004133e-05
121,303.05000021099,303.05000021173,303.0500001924,100000000000,-4.8687761593024e-05,-4.6958555004565e-05
122,303.05000021262,303.05000021336,303.05000019403,100000000000,-4.8687761593313e-05,-4.6958555004998e-05
123,303.05000021426,303.05000021499,303.05000019566,100000000000,-4.8687761593601e-05,-4.6958555004349e-05
124,303.05000021589,303.05000021662,303.05000019729,100000000000,-4.8687761593745e-05,-4.6958555005934e-05
125,303.05000021752,303.05000021825,303.05000019891,100000000000,-4.8687761594033e-05,-4.6958555005214e-05
126,303.05000021915,303.05000021988,303.05000020054,100000000000,-4.8687761593024e-05,-4.6958555005646e-05
127,303.05000022078,303.05000022151,303.05000020217,100000000000,-4.8687761593313e-05,-4.6958555006078e-05
128,303.05000022242,303.05000022314,303.0500002038,100000000000,-4.8687761593457e-05,-4.6958555005358e-05
129,303.05000022405,303.05000022477,303.05000020543,100000000000,-4.8687761593745e-05,-4.6958555004565e-05
130,303.05000022568,303.0500002264,303.05000020706,100000000000,-4.8687761592736e-05,-4.695855500507e-05
131,303.05000022731,303.05000022804,303.05000020869,100000000000,-4.8687761593024e-05,-4.6958555004277e-05
132,303.05000022894,303.05000022967,303.05000021031,100000000000,-4.8687761593601e-05,-4.6958555005862e-05
133,303.05000023057,303.0500002313,303.05000021194,100000000000,-4.8687761593313e-05,-4.6958555003989e-05
134,303.0500002322,303.05000023293,303.05000021357,100000000000,-4.8687761594033e-05,-4.6958555004421e-05
135,303.05000023383,303.05000023456,303.0500002152,100000000000,-4.8687761593024e-05,-4.6958555003629e-05
136,303.05000023547,303.05000023618,303.05000021683,100000000000,-4.8687761593169e-05,-4.6958555005286e-05
