time,T
688.0,307.7741
689.0,307.7711
690.0,307.7701
691.0,307.7701
692.0,307.7681
693.0,307.7681
694.0,307.7711
695.0,307.7751
696.0,307.7751
697.0,307.7711
698.0,307.7691
699.0,307.7691
700.0,307.7751
701.0,307.7751
702.0,307.7751
703.0,307.7761
704.0,307.7761
705.0,307.7751
706.0,307.7741
707.0,307.7741
708.0,307.7851
709.0,307.7861
710.0,307.7861
711.0,307.7841
712.0,307.7841
713.0,307.7851
714.0,307.7861
715.0,307.7861
716.0,307.7871
717.0,307.7871
718.0,307.7861
719.0,307.7821
720.0,307.7821
721.0,307.7881
722.0,307.7951
723.0,307.7951
724.0,307.8061
725.0,307.8091
726.0,307.8091
727.0,307.8021
728.0,307.8021
729.0,307.8031
730.0,307.8041
731.0,307.8041
732.0,307.8031
733.0,307.8031
734.0,307.8031
735.0,307.8172
736.0,307.8172
737.0,307.8172
738.0,307.8182
739.0,307.8182
740.0,307.8131
741.0,307.8101
742.0,307.8101
743.0,307.8131
744.0,307.8131
745.0,307.8152
746.0,307.8232
747.0,307.8232
748.0,307.8152
749.0,307.8071
750.0,307.8071
751.0,307.8202
752.0,307.8222
753.0,307.8232
754.0,307.8262
755.0,307.8262
756.0,307.8262
757.0,307.8252
758.0,307.8252
759.0,307.8382
760.0,307.8422
761.0,307.8412
762.0,307.8332
763.0,307.8332
764.0,307.8342
765.0,307.8352
766.0,307.8352
767.0,307.8412
768.0,307.8432
769.0,307.8432
770.0,307.8302
771.0,307.8302
772.0,307.8352
773.0,307.8462
774.0,307.8462
775.0,307.8422
776.0,307.8402
777.0,307.8402
778.0,307.8512
779.0,307.8522
780.0,307.8512
781.0,307.8462
782.0,307.8462
783.0,307.8452
784.0,307.8452
785.0,307.8452
786.0,307.8472
787.0,307.8472
788.0,307.8502
789.0,307.8612
790.0,307.8612
791.0,307.8562
792.0,307.8512
793.0,307.8512
794.0,307.8642
795.0,307.8672
796.0,307.8652
797.0,307.8502
798.0,307.8502
799.0,307.8572
800.0,307.8682
801.0,307.8682
802.0,307.8612
803.0,307.8582
804.0,307.8582
805.0,307.8612
806.0,307.8612
807.0,307.8662
808.0,307.8753
809.0,307.8753
810.0,307.8702
811.0,307.8682
812.0,307.8682
813.0,307.8692
814.0,307.8692
815.0,307.8652
816.0,307.8532
817.0,307.8532
818.0,307.8662
819.0,307.8753
820.0,307.8753
821.0,307.8833
822.0,307.8833
823.0,307.8803
824.0,307.8702
825.0,307.8702
826.0,307.8773
827.0,307.8833
828.0,307.8833
829.0,307.8833
830.0,307.8833
831.0,307.8843
832.0,307.8903
833.0,307.8903
834.0,307.8923
835.0,307.8953
836.0,307.8953
837.0,307.8923
838.0,307.8913
839.0,307.8923
840.0,307.9003
841.0,307.9003
842.0,307.9073
843.0,307.9183
844.0,307.9183
845.0,307.9153
846.0,307.9143
847.0,307.9143
848.0,307.8853
849.0,307.8853
850.0,307.8883
851.0,307.8953
852.0,307.8953
853.0,307.9053
854.0,307.9113
855.0,307.9113
856.0,307.9073
857.0,307.9073
858.0,307.9083
859.0,307.9113
860.0,307.9113
861.0,307.9083
862.0,307.9053
863.0,307.9053
864.0,307.9133
865.0,307.9143
866.0,307.9133
867.0,307.9073
868.0,307.9073
869.0,307.9063
870.0,307.9043
871.0,307.9043
872.0,307.9073
873.0,307.9083
874.0,307.9093
875.0,307.9203
876.0,307.9203
877.0,307.9123
878.0,307.9003
879.0,307.9003
880.0,307.9073
881.0,307.9093
882.0,307.9103
883.0,307.9193
884.0,307.9193
885.0,307.9163
886.0,307.9123
887.0,307.9123
888.0,307.9083
889.0,307.9063
890.0,307.9063
891.0,307.9163
892.0,307.9173
893.0,307.9153
894.0,307.9093
895.0,307.9093
896.0,307.9263
897.0,307.9374
898.0,307.9374
899.0,307.9213
900.0,307.9193
901.0,307.9203
902.0,307.9263
903.0,307.9263
904.0,307.9243
905.0,307.9223
906.0,307.9223
907.0,307.9233
908.0,307.9233
909.0,307.9233
910.0,307.9263
911.0,307.9263
912.0,307.9273
913.0,307.9293
914.0,307.9293
915.0,307.9203
916.0,307.9173
917.0,307.9173
918.0,307.9173
919.0,307.9173
920.0,307.9213
921.0,307.9273
922.0,307.9273
923.0,307.9293
924.0,307.9303
925.0,307.9303
926.0,307.9283
927.0,307.9283
928.0,307.9253
929.0,307.9183
930.0,307.9183
931.0,307.9143
932.0,307.9123
933.0,307.9123
934.0,307.9023
935.0,307.9013
936.0,307.9033
937.0,307.9123
938.0,307.9123
939.0,307.9193
940.0,307.9253
941.0,307.9253
942.0,307.9233
943.0,307.9223
944.0,307.9213
945.0,307.9173
946.0,307.9173
947.0,307.9203
948.0,307.9243
949.0,307.9243
950.0,307.9183
951.0,307.9173
952.0,307.9173
953.0,307.9193
954.0,307.9193
955.0,307.9213
956.0,307.9233
957.0,307.9233
958.0,307.9293
959.0,307.9324
960.0,307.9324
961.0,307.9213
962.0,307.9213
963.0,307.9203
964.0,307.9183
965.0,307.9183
966.0,307.9173
967.0,307.9163
968.0,307.9163
969.0,307.9203
970.0,307.9203
971.0,307.9213
972.0,307.9233
973.0,307.9233
974.0,307.9253
975.0,307.9263
976.0,307.9263
977.0,307.9143
978.0,307.9123
979.0,307.9153
980.0,307.9293
981.0,307.9293
982.0,307.9334
983.0,307.9374
984.0,307.9374
985.0,307.9213
986.0,307.9183
987.0,307.9203
988.0,307.9364
989.0,307.9364
990.0,307.9364
991.0,307.9364
992.0,307.9364
993.0,307.9303
994.0,307.9283
995.0,307.9283
996.0,307.9133
997.0,307.9133
998.0,307.9193
999.0,307.9303
1000.0,307.9303
1001.0,307.9213
1002.0,307.9183
1003.0,307.9183
1004.0,307.9263
1005.0,307.9263
1006.0,307.9223
1007.0,307.9133
1008.0,307.9133
1009.0,307.9183
1010.0,307.9223
1011.0,307.9223
1012.0,307.9203
1013.0,307.9203
1014.0,307.9203
1015.0,307.9183
1016.0,307.9183
1017.0,307.9223
1018.0,307.9273
1019.0,307.9273
1020.0,307.9434
1021.0,307.9454
1022.0,307.9444
1023.0,307.9384
1024.0,307.9384
1025.0,307.9334
1026.0,307.9263
1027.0,307.9263
1028.0,307.9203
1029.0,307.9183
1030.0,307.9183
1031.0,307.9223
1032.0,307.9223
1033.0,307.9273
1034.0,307.9344
1035.0,307.9344
1036.0,307.9273
1037.0,307.9243
1038.0,307.9243
1039.0,307.9243
1040.0,307.9243
1041.0,307.9243
1042.0,307.9233
1043.0,307.9233
1044.0,307.9253
1045.0,307.9263
1046.0,307.9263
1047.0,307.9213
1048.0,307.9213
1049.0,307.9213
1050.0,307.9203
1051.0,307.9203
1052.0,307.9263
1053.0,307.9314
1054.0,307.9314
1055.0,307.9273
1056.0,307.9263
1057.0,307.9273
1058.0,307.9303
1059.0,307.9303
1060.0,307.9203
1061.0,307.9123
1062.0,307.9123
1063.0,307.9233
1064.0,307.9253
1065.0,307.9263
1066.0,307.9324
1067.0,307.9324
1068.0,307.9303
1069.0,307.9273
1070.0,307.9273
1071.0,307.9203
1072.0,307.9173
1073.0,307.9183
1074.0,307.9283
1075.0,307.9283
1076.0,307.9324
1077.0,307.9384
1078.0,307.9384
1079.0,307.9324
1080.0,307.9283
1081.0,307.9283
1082.0,307.9384
1083.0,307.9394
1084.0,307.9374
1085.0,307.9324
1086.0,307.9324
1087.0,307.9263
1088.0,307.9223
1089.0,307.9223
1090.0,307.9384
1091.0,307.9394
1092.0,307.9344
1093.0,307.9153
1094.0,307.9153
1095.0,307.9243
1096.0,307.9354
1097.0,307.9354
1098.0,307.9324
1099.0,307.9314
1100.0,307.9303
1101.0,307.9253
1102.0,307.9253
1103.0,307.9273
1104.0,307.9303
1105.0,307.9303
1106.0,307.9374
1107.0,307.9404
1108.0,307.9394
1109.0,307.9293
1110.0,307.9293
1111.0,307.9314
1112.0,307.9344
1113.0,307.9344
1114.0,307.9394
1115.0,307.9404
1116.0,307.9404
1117.0,307.9364
1118.0,307.9364
1119.0,307.9384
1120.0,307.9424
1121.0,307.9424
1122.0,307.9364
1123.0,307.9314
1124.0,307.9314
1125.0,307.9283
1126.0,307.9283
1127.0,307.9263
1128.0,307.9213
1129.0,307.9213
1130.0,307.9314
1131.0,307.9394
1132.0,307.9394
1133.0,307.9344
1134.0,307.9334
1135.0,307.9334
1136.0,307.9354
1137.0,307.9354
1138.0,307.9354
1139.0,307.9344
1140.0,307.9344
1141.0,307.9283
1142.0,307.9263
1143.0,307.9273
1144.0,307.9374
1145.0,307.9374
1146.0,307.9404
1147.0,307.9444
1148.0,307.9444
1149.0,307.9303
1150.0,307.9253
1151.0,307.9253
1152.0,307.9344
1153.0,307.9344
1154.0,307.9324
1155.0,307.9293
1156.0,307.9293
1157.0,307.9324
1158.0,307.9334
1159.0,307.9334
1160.0,307.9414
1161.0,307.9424
1162.0,307.9384
1163.0,307.9293
1164.0,307.9293
1165.0,307.9273
1166.0,307.9263
1167.0,307.9263
1168.0,307.9314
1169.0,307.9314
1170.0,307.9324
1171.0,307.9394
1172.0,307.9394
1173.0,307.9364
1174.0,307.9334
1175.0,307.9334
1176.0,307.9293
1177.0,307.9283
1178.0,307.9303
1179.0,307.9424
1180.0,307.9424
1181.0,307.9374
1182.0,307.9293
1183.0,307.9293
1184.0,307.9504
1185.0,307.9574
1186.0,307.9564
1187.0,307.9344
1188.0,307.9344
1189.0,307.9314
1190.0,307.9253
1191.0,307.9253
1192.0,307.9364
1193.0,307.9414
1194.0,307.9414
1195.0,307.9314
1196.0,307.9314
1197.0,307.9293
1198.0,307.9233
1199.0,307.9233
1200.0,307.9324
1201.0,307.9374
1202.0,307.9374
1203.0,307.9273
1204.0,307.9263
1205.0,307.9283
1206.0,307.9354
1207.0,307.9354
1208.0,307.9334
1209.0,307.9324
1210.0,307.9324
1211.0,307.9213
1212.0,307.9193
1213.0,307.9213
1214.0,307.9283
1215.0,307.9283
1216.0,307.9314
1217.0,307.9354
1218.0,307.9354
1219.0,307.9374
1220.0,307.9374
1221.0,307.9364
1222.0,307.9293
1223.0,307.9293
1224.0,307.9283
1225.0,307.9273
1226.0,307.9273
1227.0,307.9334
1228.0,307.9354
1229.0,307.9354
1230.0,307.9424
1231.0,307.9424
1232.0,307.9394
1233.0,307.9344
1234.0,307.9344
1235.0,307.9424
1236.0,307.9464
1237.0,307.9464
1238.0,307.9364
1239.0,307.9364
1240.0,307.9374
1241.0,307.9404
1242.0,307.9404
1243.0,307.9404
1244.0,307.9404
1245.0,307.9404
1246.0,307.9293
1247.0,307.9273
1248.0,307.9283
1249.0,307.9314
1250.0,307.9314
1251.0,307.9344
1252.0,307.9374
1253.0,307.9374
1254.0,307.9384
1255.0,307.9384
1256.0,307.9394
1257.0,307.9474
1258.0,307.9474
1259.0,307.9414
1260.0,307.9344
1261.0,307.9344
1262.0,307.9384
1263.0,307.9394
1264.0,307.9384
1265.0,307.9233
1266.0,307.9233
1267.0,307.9283
1268.0,307.9374
1269.0,307.9374
1270.0,307.9334
1271.0,307.9314
1272.0,307.9314
1273.0,307.9384
1274.0,307.9384
1275.0,307.9364
1276.0,307.9314
1277.0,307.9314
1278.0,307.9334
1279.0,307.9354
1280.0,307.9354
1281.0,307.9344
1282.0,307.9344
1283.0,307.9344
1284.0,307.9354
1285.0,307.9354
1286.0,307.9344
1287.0,307.9344
1288.0,307.9344
1289.0,307.9324
1290.0,307.9324
1291.0,307.9334
1292.0,307.9354
1293.0,307.9354
1294.0,307.9364
1295.0,307.9374
1296.0,307.9374
1297.0,307.9324
1298.0,307.9303
1299.0,307.9314
1300.0,307.9374
1301.0,307.9374
1302.0,307.9314
1303.0,307.9203
1304.0,307.9203
1305.0,307.9344
1306.0,307.9404
1307.0,307.9404
1308.0,307.9273
1309.0,307.9273
1310.0,307.9283
1311.0,307.9293
1312.0,307.9293
1313.0,307.9293
1314.0,307.9293
1315.0,307.9293
1316.0,307.9404
1317.0,307.9404
1318.0,307.9374
1319.0,307.9283
1320.0,307.9283
1321.0,307.9263
1322.0,307.9253
1323.0,307.9253
1324.0,307.9263
1325.0,307.9263
1326.0,307.9283
1327.0,307.9374
1328.0,307.9374
1329.0,307.9324
1330.0,307.9263
1331.0,307.9263
1332.0,307.9283
1333.0,307.9283
1334.0,307.9283
1335.0,307.9253
1336.0,307.9253
1337.0,307.9293
1338.0,307.9354
1339.0,307.9354
1340.0,307.9314
1341.0,307.9293
1342.0,307.9293
1343.0,307.9324
1344.0,307.9324
1345.0,307.9324
1346.0,307.9324
1347.0,307.9324
1348.0,307.9314
1349.0,307.9314
1350.0,307.9314
1351.0,307.9384
1352.0,307.9384
1353.0,307.9354
1354.0,307.9273
1355.0,307.9273
1356.0,307.9293
1357.0,307.9303
1358.0,307.9303
1359.0,307.9303
1360.0,307.9303
1361.0,307.9293
1362.0,307.9263
1363.0,307.9263
1364.0,307.9263
1365.0,307.9263
1366.0,307.9263
1367.0,307.9334
1368.0,307.9354
1369.0,307.9334
1370.0,307.9223
1371.0,307.9223
1372.0,307.9233
1373.0,307.9253
1374.0,307.9253
1375.0,307.9203
1376.0,307.9193
1377.0,307.9193
1378.0,307.9233
1379.0,307.9233
1380.0,307.9223
1381.0,307.9213
1382.0,307.9213
1383.0,307.9243
1384.0,307.9263
1385.0,307.9263
1386.0,307.9324
1387.0,307.9324
1388.0,307.9344
1389.0,307.9384
1390.0,307.9384
1391.0,307.9364
1392.0,307.9354
1393.0,307.9354
1394.0,307.9324
1395.0,307.9324
1396.0,307.9303
1397.0,307.9223
1398.0,307.9223
1399.0,307.9243
1400.0,307.9253
1401.0,307.9253
1402.0,307.9283
1403.0,307.9283
1404.0,307.9283
1405.0,307.9273
1406.0,307.9273
1407.0,307.9243
1408.0,307.9203
1409.0,307.9203
1410.0,307.9203
1411.0,307.9203
1412.0,307.9193
1413.0,307.9113
1414.0,307.9113
1415.0,307.9133
1416.0,307.9153
1417.0,307.9153
1418.0,307.9203
1419.0,307.9213
1420.0,307.9213
1421.0,307.9223
1422.0,307.9223
1423.0,307.9193
1424.0,307.9143
1425.0,307.9143
1426.0,307.9153
1427.0,307.9163
1428.0,307.9163
1429.0,307.9203
1430.0,307.9203
1431.0,307.9203
1432.0,307.9203
1433.0,307.9203
1434.0,307.9163
1435.0,307.9143
1436.0,307.9143
1437.0,307.9143
1438.0,307.9143
1439.0,307.9123
1440.0,307.9043
1441.0,307.9043
1442.0,307.9063
1443.0,307.9083
1444.0,307.9083
1445.0,307.9073
1446.0,307.9073
1447.0,307.9083
1448.0,307.9133
1449.0,307.9133
1450.0,307.9133
1451.0,307.9143
1452.0,307.9143
1453.0,307.9163
1454.0,307.9163
1455.0,307.9163
1456.0,307.9113
1457.0,307.9113
1458.0,307.9113
1459.0,307.9113
1460.0,307.9113
1461.0,307.9133
1462.0,307.9143
1463.0,307.9143
1464.0,307.9173
1465.0,307.9173
1466.0,307.9153
1467.0,307.9113
1468.0,307.9113
1469.0,307.9073
1470.0,307.9053
1471.0,307.9053
1472.0,307.9163
1473.0,307.9173
1474.0,307.9173
1475.0,307.9173
1476.0,307.9173
1477.0,307.9133
1478.0,307.9103
1479.0,307.9103
1480.0,307.9123
1481.0,307.9123
1482.0,307.9113
1483.0,307.9093
1484.0,307.9093
1485.0,307.9063
1486.0,307.9033
1487.0,307.9033
1488.0,307.9123
1489.0,307.9153
1490.0,307.9153
1491.0,307.9073
1492.0,307.9073
1493.0,307.9083
1494.0,307.9103
1495.0,307.9103
1496.0,307.9033
1497.0,307.9003
1498.0,307.9003
1499.0,307.9223
1500.0,307.9223
1501.0,307.9193
1502.0,307.9123
1503.0,307.9123
1504.0,307.9093
1505.0,307.9083
1506.0,307.9083
1507.0,307.9083
1508.0,307.9083
1509.0,307.9113
1510.0,307.9183
1511.0,307.9183
