Time,In_column_Top
4192,302.2967
4193,302.2897
4194,302.2867
4195,302.2867
4196,302.2867
4197,302.2867
4198,302.2887
4199,302.2927
4200,302.2927
4201,302.2947
4202,302.2957
4203,302.2957
4204,302.2957
4205,302.2957
4206,302.2917
4207,302.2837
4208,302.2837
4209,302.2857
4210,302.2867
4211,302.2867
4212,302.2907
4213,302.2907
4214,302.2897
4215,302.2847
4216,302.2847
4217,302.2887
4218,302.2937
4219,302.2937
4220,302.2917
4221,302.2907
4222,302.2897
4223,302.2837
4224,302.2837
4225,302.2847
4226,302.2867
4227,302.2867
4228,302.2907
4229,302.2917
4230,302.2917
4231,302.2917
4232,302.2917
4233,302.2917
4234,302.2907
4235,302.2907
4236,302.2937
4237,302.2957
4238,302.2957
4239,302.2997
4240,302.2997
4241,302.2957
4242,302.2867
4243,302.2867
4244,302.2937
4245,302.2977
4246,302.2977
4247,302.2927
4248,302.2927
4249,302.2917
4250,302.2877
4251,302.2877
4252,302.2847
4253,302.2827
4254,302.2827
4255,302.2937
4256,302.2957
4257,302.2957
4258,302.2967
4259,302.2967
4260,302.2977
4261,302.2997
4262,302.2997
4263,302.2937
4264,302.2927
4265,302.2927
4266,302.2947
4267,302.2947
4268,302.2987
4269,302.3037
4270,302.3037
4271,302.2927
4272,302.2887
4273,302.2887
4274,302.2977
4275,302.2977
4276,302.2957
4277,302.2927
4278,302.2927
4279,302.2977
4280,302.2997
4281,302.2997
4282,302.2917
4283,302.2917
4284,302.2897
4285,302.2857
4286,302.2857
4287,302.2897
4288,302.2937
4289,302.2937
4290,302.2977
4291,302.2977
4292,302.2967
4293,302.2937
4294,302.2937
4295,302.2887
4296,302.2837
4297,302.2837
4298,302.2917
4299,302.2937
4300,302.2927
4301,302.2847
4302,302.2847
4303,302.2877
4304,302.2917
4305,302.2917
4306,302.2907
4307,302.2907
4308,302.2907
4309,302.2877
4310,302.2877
4311,302.2897
4312,302.2937
4313,302.2937
4314,302.2857
4315,302.2817
4316,302.2817
4317,302.2877
4318,302.2877
4319,302.2867
4320,302.2837
4321,302.2837
4322,302.2887
4323,302.2917
4324,302.2917
4325,302.2867
4326,302.2857
4327,302.2857
4328,302.2837
4329,302.2837
4330,302.2857
4331,302.2867
4332,302.2867
4333,302.2917
4334,302.2927
4335,302.2917
4336,302.2817
4337,302.2817
4338,302.2847
4339,302.2877
4340,302.2877
4341,302.2797
4342,302.2777
4343,302.2777
4344,302.2807
4345,302.2807
4346,302.2807
4347,302.2817
4348,302.2817
4349,302.2857
4350,302.2867
4351,302.2867
4352,302.2817
4353,302.2817
4354,302.2807
4355,302.2797
4356,302.2797
4357,302.2867
4358,302.2907
4359,302.2907
4360,302.2827
4361,302.2827
4362,302.2817
4363,302.2777
4364,302.2777
4365,302.2787
4366,302.2797
4367,302.2797
4368,302.2837
4369,302.2847
4370,302.2837
4371,302.2807
4372,302.2807
4373,302.2757
4374,302.2707
4375,302.2707
4376,302.2737
4377,302.2747
4378,302.2757
4379,302.2797
4380,302.2797
4381,302.2767
4382,302.2717
4383,302.2717
4384,302.2727
4385,302.2737
4386,302.2727
4387,302.2656
4388,302.2656
4389,302.2676
4390,302.2717
4391,302.2717
4392,302.2737
4393,302.2747
4394,302.2747
4395,302.2737
4396,302.2737
4397,302.2727
4398,302.2687
4399,302.2687
4400,302.2707
4401,302.2727
4402,302.2727
4403,302.2737
4404,302.2737
4405,302.2717
4406,302.2606
4407,302.2606
4408,302.2616
4409,302.2626
4410,302.2626
4411,302.2656
4412,302.2666
4413,302.2676
4414,302.2717
4415,302.2717
4416,302.2717
4417,302.2707
4418,302.2707
4419,302.2646
4420,302.2626
4421,302.2636
4422,302.2727
4423,302.2727
4424,302.2636
4425,302.2526
4426,302.2526
4427,302.2596
4428,302.2636
4429,302.2636
4430,302.2596
4431,302.2596
4432,302.2596
4433,302.2606
4434,302.2606
4435,302.2666
4436,302.2697
4437,302.2697
4438,302.2546
4439,302.2536
4440,302.2546
4441,302.2586
4442,302.2586
4443,302.2586
4444,302.2586
4445,302.2586
4446,302.2546
4447,302.2546
4448,302.2536
4449,302.2466
4450,302.2466
4451,302.2536
4452,302.2606
4453,302.2606
4454,302.2506
4455,302.2486
4456,302.2506
4457,302.2636
4458,302.2636
4459,302.2596
4460,302.2556
4461,302.2556
4462,302.2526
4463,302.2516
4464,302.2516
4465,302.2556
4466,302.2556
4467,302.2576
4468,302.2606
4469,302.2606
4470,302.2576
4471,302.2566
4472,302.2566
4473,302.2546
4474,302.2546
4475,302.2536
4476,302.2516
4477,302.2516
4478,302.2526
4479,302.2536
4480,302.2536
4481,302.2516
4482,302.2516
4483,302.2536
4484,302.2596
4485,302.2596
4486,302.2596
4487,302.2596
